a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-3
acpi 1.7-1
acpid 2.0.28-1
adobe-air-sdk 2.6-10
adwaita-icon-theme 3.24.0-1
algobox 0.9-2
alsa-firmware 1.0.29-1
alsa-lib 1.1.4.1-1
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
analysesi 0.80-1
apache 2.4.27-1
apache-ant 1.9.7-1
apr 1.6.2-1
apr-util 1.6.0-1
arc-maia-icon-theme 20161122-3
arc-themes-maia 20170302-3
archlinux-keyring 20170611-1
asciidoc 8.6.9-3
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
atkmm 2.24.2+1+gf30b47f-2
atril 1.18.0-1
attica-qt5 5.36.0-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15.1-1
avahi 0.6.32-3
b43-fwcutter 019-1
babl 0.1.24-1
balsamiqmockups 2.2.29-5
bash 4.4.012-2
bc 1.07.1-1
binutils 2.28.0-4
bison 3.0.4-3
blueman 2.0.4-3
bluez 5.45-1
bluez-libs 5.45-1
boost-libs 1.64.0-4
brasero 3.12.1-2
breath-wallpaper 0.3.0-1
brisk-menu 0.4.5-1
btrfs-progs 4.11.1-1
burpsuite 1.7.26-1
bzip2 1.0.6-6
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.31-3
ca-certificates-utils 20170307-1
cairo 1.14.10-1
cairomm 1.12.2-2
caja 1.18.3-1
caja-extensions-common 1.18.1-1
caja-gksu 1.18.1-1
caja-image-converter 1.18.1-1
caja-open-terminal 1.18.1-1
caja-sendto 1.18.1-1
caja-share 1.18.1-1
caja-wallpaper 1.18.1-1
caja-xattr-tags 1.18.1-1
cantarell-fonts 1:0.0.25-3
cargo 0.20.0-1
cdparanoia 10.2-5
cdrdao 1.2.3-10
cdrtools 3.02a07-2
celt 0.11.3-2
chromaprint 1.4.2-1
chromium 59.0.3071.115-1
cifs-utils 6.7-2
ckbcomp 1.155-1
clang 4.0.1-5
clucene 2.3.3.4-9
cmake 3.8.2-1
cmatrix 1.2a-12
codeblocks 16.01-10
colord 1.3.5-1
compositeproto 0.4.2-3
coreutils 8.27-1
cpupower 4.12-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 1.7.5-1
cups 2.2.4-2
cups-filters 1.14.1-1
cups-pdf 3.0.1-1
cups-pk-helper 0.2.6-1
curl 7.54.1-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.18-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0+1+g701d19d-1
dconf-editor 3.23.4+48+g9acdf0a-1
desktop-file-utils 0.23-1
device-mapper 2.02.172-2
dhclient 4.3.5-2
dhcpcd 6.11.5-1
diffutils 3.6-1
ding-libs 0.6.0-1
discord 0.0.1-7
djvulibre 3.5.27-3
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.77-1
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-3
dosfstools 4.1-1
dotnet-host 2.0.0_preview2_25407_01-2
dotnet-runtime-2.0 2.0.0_preview2_25407_01-1
dotnet-sdk-2.0 2.0.0_preview2_006497-1
double-conversion 2.0.1-3
downgrade 5.4.0-1
dvd+rw-tools 7.1-7
e2fsprogs 1.43.4-1
ecryptfs-utils 111-2
efibootmgr 15-1
efivar 31-1
enchant 1.6.1-2
engrampa 1.18.2-1
eom 1.18.2-1
espeak 1.49.0.r696.g96e34565-1
exa-git 892-1
exempi 2.4.2+1+gc26d5be-1
exfat-utils 1.2.7-1
expat 2.2.2-1
f2fs-tools 1.8.0-1
faac 1.28-5
faad2 2.7-4
faba-icon-theme 1:4.1.2-1
fakeroot 1.21-2
farstream 0.2.8-1
ffmpeg 1:3.3.2-2
ffmpeg2.8 2.8.12-3
fftw 3.3.6-2
file 5.31-1
filesystem 2017.06-4.3
findutils 4.6.0-2
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flatplat-theme 1:3.24.20170605-1
flex 2.6.4-1
fontconfig 2.12.3-1
fontsproto 2.1.3-2
foomatic-db-engine 4:4.0.12-3
freeglut 3.0.0-1
freemind 1.0.1-3
freetype2 2.8-2
fribidi 0.19.7-1
fuse-common 3.1.0-1
fuse2 2.9.7-3
fzf 0.16.8-1
gamin 0.1.10-8
gawk 4.1.4-2
gc 7.6.0-1
gcc-libs-multilib 7.1.1-4
gcc-multilib 7.1.1-4
gconf 3.2.6-5
gcr 3.20.0+45+g4708f35-1
gd 2.2.4-2
